"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"Wales ","","","",451577.6,452212.535,451852.106667,452219.744444,453690.410278,455806.846667
"Wales ","Isle of Anglesey ","","",9267.6,9293,9399,9409,9393,9342
"","Isle of Anglesey ","Isle of Anglesey - Nursery ","5129994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Isle of Anglesey - Primary ","",5287.6,5362,5497,5562,5526,5471
"","","Isle of Anglesey - Primary ","5122129 - Ysgol Gynradd Aberffraw ",".",".",".",".",".","."
"","","","5122130 - Ysgol Gynradd Amlwch ",239.2,257,260,275,274,264
"","","","5122131 - Ysgol Gynradd Beaumaris ",61.4,52,44,43,46,42
"","","","5122132 - Ysgol Gynradd Bodedern ",110.2,109,108,98,91,87
"","","","5122133 - Ysgol Gymuned Bodffordd ",61.4,60,70,68,73,75
"","","","5122134 - Ysgol Gymuned Bodorgan ",36,14,21,19.25,1,"."
"","","","5122135 - Ysgol Gymuned Bryngwran ",41.2,48,46,52,56,50
"","","","5122136 - Ysgol Gynradd Brynsiencyn ",50,44,42,46,48,45
"","","","5122138 - Ysgol Gynradd Cemaes ",73,83,86,66,71,69
"","","","5122139 - Ysgol Gymuned Dwyran ",37,41,39,32.083333,3,"."
"","","","5122140 - Ysgol Gynradd Esceifiog ",104.2,115,129,140,145,143
"","","","5122141 - Ysgol Gymuned Garreglefn ",44,43,37,25,23,15
"","","","5122142 - Ysgol Gymuned Y Ffridd ",79.8,76,87,89,87,93
"","","","5122144 - Ysgol Gynradd Y Parc ",169.8,170,68,".",".","."
"","","","5122145 - Ysgol Gymuned Moelfre ",66.6,64,65,69,76,67
"","","","5122146 - Ysgol Gynradd Llanbedrgoch ",50.8,43,35,32,28,25
"","","","5122147 - Ysgol Gynradd Llandrygarn ",".",".",".",".",".","."
"","","","5122148 - Ysgol Gynradd Llanddeusant ",".",".",".",".",".","."
"","","","5122149 - Ysgol Gynradd Llanddona ",".",".",".",".",".","."
"","","","5122150 - Ysgol Gynradd Llanfachraeth ",42.6,48,19,".",".","."
"","","","5122151 - Ysgol Ffrwd Win ",34.6,30,15,".",".","."
"","","","5122152 - Ysgol Llanfairpwllgwyngyll ",307,321,339,335,322,323
"","","","5122153 - Ysgol Gymuned Llanfechell ",87.4,87,69,70,70,63
"","","","5122154 - Ysgol Y Graig ",353.4,357,354,355,352,344
"","","","5122155 - Ysgol Gynradd Llangoed ",87.6,84,87,81,70,71
"","","","5122156 - Ysgol Henblas ",94,102,81,84,85,94
"","","","5122157 - Ysgol Gymuned Llanerchymedd ",110.4,119,118,128,131,131
"","","","5122158 - Ysgol Gymuned Cylch Y Garn ",32,39,15,".",".","."
"","","","5122160 - Ysgol Gynradd Pencarnisiog ",49.6,52,60,65,75,66
"","","","5122161 - Ysgol Gymuned Pentraeth ",89.4,91,93,94,100,108
"","","","5122162 - Ysgol Gynradd Penysarn ",83.2,85,89,92,80,81
"","","","5122163 - Ysgol Gynradd Santes Gwenfaen ",107,102,109,106,102,95
"","","","5122164 - Ysgol Gynradd Rhosneigr ",51.6,49,55,67,65,77
"","","","5122165 - Ysgol Gymuned Rhosybol ",48.6,53,64,60,65,69
"","","","5122166 - Ysgol Gynradd Y Talwrn ",40,47,47,42,38,40
"","","","5122167 - Ysgol Ty Mawr ",".",".",".",".",".","."
"","","","5122168 - Ysgol Gymuned Fali ",102.4,96,85,86,87,89
"","","","5122169 - Ysgol Llanfawr ",223.4,246,268,287,301,300
"","","","5122170 - Ysgol Goronwy Owen ",106,105,122,126,132,126
"","","","5122171 - Ysgol Llaingoch ",185.8,181,80,".",".","."
"","","","5122172 - Ysgol Gynradd Niwbwrch ",54.6,56,55,43.083333,4,"."
"","","","5122173 - Ysgol y Tywyn ",118.2,123,140,120,97,103
"","","","5122174 - Ysgol Gynradd Llandegfan ",139,142,144,152,158,163
"","","","5122175 - Ysgol Y Borth ",198.8,208,220,244,241,246
"","","","5122176 - Ysgol Gynradd Kingsland ",170.2,171,170,173,183,169
"","","","5122177 - Ysgol Gymraeg Morswyn ",142.8,140,139,137,145,160
"","","","5122226 - Ysgol Corn Hir ",199,207,221,223,227,230
"","","","5122227 - Ysgol Rhyd y Llan ",".",".",69,134,141,143
"","","","5122228 - Ysgol Gynradd Parc Y Bont ",".",".",".",".",".",113
"","","","5123033 - Ysgol Y Parch Thomas Ellis ",113.8,115,45,".",".","."
"","","","5123034 - Ysgol Parc Y Bont ",95.6,103,102,108,113,"."
"","","","5123035 - Ysgol Llangaffo ",49,49,39,37.583333,4,"."
"","","","5123036 - Ysgol Cybi ",".",".",271,473,430,419
"","","","5123037 - Ysgol Santes Dwynwen ",".",".",".",12,122,130
"","","","5123304 - Ysgol Santes Fair, St Mary' s R.C. School ",177.4,178,186,173,154,145
"","","","5125200 - Ysgol Gynradd Caergeiliog ",368.6,357,390,400,410,398
"","","","5125201 - Establish a new Welsh medium primary school 3-11 ",".",".",".",".",".",0
"","","","5129991 - Unallocated resources - primary ",".",".",".",".",".","."
"","","Isle of Anglesey - Middle ","5129996 - Unallocated resources - middle ",".",".",".",".",".","."
"","","Isle of Anglesey - Secondary ","",3895,3841,3812,3757,3763,3766
"","","Isle of Anglesey - Secondary ","5124025 - Ysgol Syr Thomas Jones ",550,515,512,488,509,511
"","","","5124026 - Ysgol Uwchradd Caergybi ",879,863,817,834,830,819
"","","","5124027 - Ysgol Gyfun Llangefni ",750,762,722,672,639,665
"","","","5124028 - Ysgol David Hughes ",1098,1087,1120,1112,1102,1066
"","","","5124029 - Ysgol Uwchradd Bodedern ",618,614,641,651,683,705
"","","","5129992 - Unallocated resources - secondary ",".",".",".",".",".","."
"","","Isle of Anglesey - Special ","",85,90,90,90,104,105
"","","Isle of Anglesey - Special ","5127011 - Ysgol Y Bont ",85,90,90,90,104,105
"","","","5129993 - Unallocated resources - special ",".",".",".",".",".","."
"","Gwynedd ","","",16451.41,16462.841667,16483.54,16508.56,16494.476667,16547.2
"","Gwynedd ","Gwynedd - Nursery ","5149994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Gwynedd - Primary ","",9284.8,9426.08,9332.23,9107.32,8851.026667,8681.76
"","","Gwynedd - Primary ","5142000 - Ysgol Gwaun Gynfi ",143.4,142.8,142.04,134.56,143.6,143.48
"","","","5142004 - Ysgol Gynradd Nefyn ",124.36,131.48,141.68,156.48,146.4,136.92
"","","","5142006 - Ysgol Gynradd Llanrug ",250.56,262.52,258.92,238.76,244.72,249.6
"","","","5142008 - Ysgol Gynradd Abererch ",66.28,73.96,75.32,73.28,80.44,76.84
"","","","5142009 - Ysgol Gynradd Abersoch ",17.52,17.76,20.08,16.44,12.44,7.88
"","","","5142010 - Ysgol Gynradd Beddgelert ",26.88,24.32,18.32,16.32,18.88,24.32
"","","","5142011 - Ysgol Gynradd Bethel ",144.6,139.36,142.8,135.52,130,136.72
"","","","5142013 - Ysgol Bodfeurig ",69.52,67.08,63.76,66.64,64.52,60.4
"","","","5142015 - Ysgol Borthygest ",51.4,67.96,63.76,63.52,56.2,43.32
"","","","5142016 - Ysgol Bronyfoel ",9.116667,".",".",".",".","."
"","","","5142017 - Ysgol Brynaerau ",60.2,61.52,67.08,61.52,59.52,58.64
"","","","5142024 - Ysgol Gynradd Carmel ",14.483333,".",".",".",".","."
"","","","5142026 - Ysgol Y Gelli ",198.2,207.2,209.44,211.2,215.2,218.2
"","","","5142028 - Ysgol Penybryn ",138,134,132,126,125,128
"","","","5142033 - Ysgol Treferthyr ",120.28,119.84,113.16,102.72,107.28,105.04
"","","","5142035 - Ysgol Gynradd Cwm-y-Glo ",34.88,34.44,24.88,17.44,0,"."
"","","","5142036 - Ysgol Gynradd Chwilog ",50.64,47.96,47.64,43.08,45.84,49.2
"","","","5142039 - Ysgol Crud Y Werin ",64.96,67.28,65.2,59.52,58.08,57.28
"","","","5142042 - Ysgol Dolbadarn ",163.44,166.44,164.92,159.92,168.16,168.44
"","","","5142046 - Ysgol Gynradd Edern ",79.4,76.2,69.76,71.4,79.44,74.64
"","","","5142047 - Ysgol Gynradd Felinwnda ",27.32,23.32,21,21.88,25.44,22.88
"","","","5142048 - Ysgol Bro Plennydd ",71.72,75.72,76.52,73.4,70.84,70.64
"","","","5142049 - Ysgol Garndolbenmaen ",52.2,54.52,54.64,49.2,44.76,42.2
"","","","5142051 - Ysgol Glanadda ",43,42,50,41,33,13.333333
"","","","5142057 - Y.G. Y Groeslon ",29.983333,".",".",".",".","."
"","","","5142059 - Y.G. Llanaelhaearn ",29,24.88,19.44,18.32,11,8
"","","","5142060 - Ysgol Llanbedrog ",69.52,68.08,72.84,74.28,78.96,85.28
"","","","5142066 - Ysgol Llangybi ",61.08,49.32,46.32,43.32,36.88,32.32
"","","","5142069 - Ysgol Gynradd Llanllechid ",234.52,248.08,251.04,249.92,251.32,257.08
"","","","5142070 - Ysgol Llanllyfni ",85.52,82.4,83.08,73.04,75.28,75.28
