"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"Wales ","","","",1863903.644372,1894741.032564,1913280.148907,1940630.179415,2014782.133373,2123773.641884
"Wales ","Isle of Anglesey ","","",39517,39976,41886.916667,41484,42803,46040
"","Isle of Anglesey ","Isle of Anglesey - Nursery ","5129994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Isle of Anglesey - Primary ","",22001,22123,21835.916667,21570,22039,23501
"","","Isle of Anglesey - Primary ","5122129 - Ysgol Gynradd Aberffraw ",".",".",".",".",".","."
"","","","5122130 - Ysgol Gynradd Amlwch ",932,957,933,914,953,1033
"","","","5122131 - Ysgol Gynradd Beaumaris ",364,342,262,251,276,295
"","","","5122132 - Ysgol Gynradd Bodedern ",432,421,408,398,386,393
"","","","5122133 - Ysgol Gymuned Bodffordd ",313,285,315,289,312,354
"","","","5122134 - Ysgol Gymuned Bodorgan ",207,188,227,183.333333,14,"."
"","","","5122135 - Ysgol Gymuned Bryngwran ",228,243,232,264,256,260
"","","","5122136 - Ysgol Gynradd Brynsiencyn ",249,259,220,227,251,260
"","","","5122138 - Ysgol Gynradd Cemaes ",309,354,349,334,311,316
"","","","5122139 - Ysgol Gymuned Dwyran ",179,193,186,158.583333,15,"."
"","","","5122140 - Ysgol Gynradd Esceifiog ",531,562,577,567,568,593
"","","","5122141 - Ysgol Gymuned Garreglefn ",211,199,178,162,170,171
"","","","5122142 - Ysgol Gymuned Y Ffridd ",356,337,381,390,375,401
"","","","5122144 - Ysgol Gynradd Y Parc ",788,747,294,".",".","."
"","","","5122145 - Ysgol Gymuned Moelfre ",366,369,381,324,352,390
"","","","5122146 - Ysgol Gynradd Llanbedrgoch ",212,195,195,196,200,180
"","","","5122147 - Ysgol Gynradd Llandrygarn ",".",".",".",".",".","."
"","","","5122148 - Ysgol Gynradd Llanddeusant ",".",".",".",".",".","."
"","","","5122149 - Ysgol Gynradd Llanddona ",".",".",".",".",".","."
"","","","5122150 - Ysgol Gynradd Llanfachraeth ",232,238,93,".",".","."
