"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 ","2021-22 "
"Wales ","","","",4127.537868,4189.934789,4234.306138,4291.34332,4440.874411,4667.598336,4799.968503
"Wales ","Isle of Anglesey ","","",4263.994993,4301.732487,4456.529063,4408.970135,4556.904078,4928.280882,5021.534889
"","Isle of Anglesey ","Isle of Anglesey - Nursery ","5129994 - Unallocated resources - nursery ",".",".",".",".",".",".","."
"","","Isle of Anglesey - Primary ","",4160.866934,4125.885863,3972.333394,3878.101402,3988.237423,4295.558399,4411.558991
"","","Isle of Anglesey - Primary ","5122129 - Ysgol Gynradd Aberffraw ",".",".",".",".",".",".","."
"","","","5122130 - Ysgol Gynradd Amlwch ",3896.32107,3723.735409,3588.461538,3323.636364,3478.10219,3912.878788,4071.428571
"","","","5122131 - Ysgol Gynradd Beaumaris ",5928.338762,6576.923077,5954.545455,5837.209302,6000,7023.809524,7861.111111
"","","","5122132 - Ysgol Gynradd Bodedern ",3920.145191,3862.385321,3777.777778,4061.22449,4241.758242,4517.241379,4684.782609
"","","","5122133 - Ysgol Gymuned Bodffordd ",5097.71987,4750,4500,4250,4273.972603,4720,4750
"","","","5122134 - Ysgol Gymuned Bodorgan ",5750,13428.571429,10809.52381,9523.809524,14000,".","."
"","","","5122135 - Ysgol Gymuned Bryngwran ",5533.980583,5062.5,5043.478261,5076.923077,4571.428571,5200,5837.209302
"","","","5122136 - Ysgol Gynradd Brynsiencyn ",4980,5886.363636,5238.095238,4934.782609,5229.166667,5777.777778,6829.268293
"","","","5122138 - Ysgol Gynradd Cemaes ",4232.876712,4265.060241,4058.139535,5060.606061,4380.28169,4579.710145,5058.823529
"","","","5122139 - Ysgol Gymuned Dwyran ",4837.837838,4707.317073,4769.230769,4942.857143,5000,".","."
"","","","5122140 - Ysgol Gynradd Esceifiog ",5095.96929,4886.956522,4472.868217,4050,3917.241379,4146.853147,4184.931507
"","","","5122141 - Ysgol Gymuned Garreglefn ",4795.454545,4627.906977,4810.810811,6480,7391.304348,11400,11000
"","","","5122142 - Ysgol Gymuned Y Ffridd ",4461.152882,4434.210526,4379.310345,4382.022472,4310.344828,4311.827957,4431.372549
