"","","","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"Wales ","","",4080.146855,4169.016695,4149.75896,4127.537868,4189.934789,4234.306138,4291.34332,4440.874411,4659.371963
"Wales ","Isle of Anglesey ","",4184.258959,4513.397781,4349.472458,4263.994993,4301.732487,4456.529063,4408.970135,4556.904078,4928.280882
"","Isle of Anglesey ","Isle of Anglesey - Nursery ",0,0,0,0,0,0,0,0,0
"","","Isle of Anglesey - Primary ",4146.031746,4199.930243,3855.149145,4160.866934,4125.885863,3972.333394,3878.101402,3988.237423,4295.558399
"","","Isle of Anglesey - Middle ",".",".",0,0,0,0,0,0,0
"","","Isle of Anglesey - Secondary ",4023.503756,4683.698903,4726.814516,4117.58665,4262.692007,4876.442812,4892.201224,5038.533085,5464.152947
"","","Isle of Anglesey - Special ",16414.285714,16973.333333,17070.588235,17388.235294,16444.444444,16244.444444,17044.444444,17346.153846,18676.190476
"","Gwynedd ","",4354.227337,4496.494512,4489.769314,4516.650953,4498.889943,4513.099476,4537.754389,4652.87812,4949.61712
"","Gwynedd ","Gwynedd - Nursery ",0,0,0,0,0,0,0,0,0
"","","Gwynedd - Primary ",3928.784942,4044.33054,4011.521714,4077.507812,3988.299951,3873.463964,3925.755007,4037.329296,4315.948146
"","","Gwynedd - Middle ",".",".",0,0,0,5188.996463,4968.651849,5003.174511,5071.226408
"","","Gwynedd - Secondary ",4643.619358,4825.307314,4872.05515,4831.480445,4901.488428,5012.616316,4919.105073,4950.181614,5280.595701
"","","Gwynedd - Special ",15940.292379,17641.444164,17712.496353,18162.100829,17217.064403,17267.948799,17587.212989,19322.65896,19621.666098
"","Conwy ","",4387.068969,4484.032419,4578.548532,4544.473445,4602.450802,4566.552666,4598.444666,4590.528651,4803.385501
"","Conwy ","Conwy - Nursery ",0,0,0,0,0,0,0,0,0
"","","Conwy - Primary ",3937.731749,4091.821504,4013.999658,3962.50837,3951.965457,3891.113775,3915.841069,3866.141648,4026.85135
"","","Conwy - Middle ",".",".",0,0,0,0,0,0,0
"","","Conwy - Secondary ",4507.55726,4565.803135,4864.62008,4864.269723,4989.802608,4999.586763,4983.251708,5022.69351,5271.024929
"","","Conwy - Special ",20942.890557,19729.518188,18814.647606,18914.999176,19109.889389,18855,18689.584389,18844.183509,19202.995918
