School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6602130,Ysgol Gynradd Amlwch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Amlwch,Ynys Môn,,,LL68 9DU,01407 830414,279
6602131,Ysgol Gynradd Beaumaris,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248 810451,48
6602132,Ysgol Gynradd Bodedern,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407 740201,95
6602133,Ysgol Gymuned Bodffordd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248 723384,80
6602135,Ysgol Gymuned Bryngwran,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bryngwran,Caergybi,Ynys Môn,,LL65 3PP,01407 720400,56
6602136,Ysgol Gynradd Brynsiencyn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Brynsiencyn,Llanfairpwll,Ynys Môn,,LL61 6HZ,01248 430457,46
6602138,Ysgol Cemaes,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemaes,Ynys Môn,,,LL67 0LB,01407 710225,77
6602140,Ysgol Esceifiog,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Y Gaerwen,Ynys Môn,,,LL60 6DD,01248 421669,157
6602141,Ysgol Gynradd Garreglefn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garreglefn,Amlwch,Ynys Môn,,LL68 0PH,01407 710508,15
6602142,Ysgol Gymuned Y Ffridd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gwalchmai,Caergybi,Ynys Môn,,LL65 4SG,01407 720477,103
6602145,Ysgol Gymuned Moelfre,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Moelfre,Ynys Môn,,,LL72 8NA,01248 410546,70
6602146,Ysgol Gynradd Llanbedrgoch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrgoch,Ynys Môn,,,LL76 8SX,01248 450291,27
6602152,Ysgol Gynradd Llanfairpwll,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llanfairpwll,Ynys Môn,,,LL61 5TX,01248 714478,345
6602153,Ysgol Gymuned Llanfechell,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfechell,Amlwch,Ynys Môn,,LL68 0SA,01407 710512,70
6602154,Ysgol Y Graig,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Colleg,Lon Talwrn,Llangefni,Ynys Môn,LL77 7LP,01248 723092,377
6602155,Ysgol Gynradd Llangoed,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangoed,Beaumaris,Ynys Môn,,LL58 8LU,01248 490680,76
6602156,Ysgol Henblas,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangristiolus,Bodorgan,Ynys Môn,,LL62 5DR,01248 723944,98
6602157,Ysgol Gymuned Llannerch-Y-Medd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanerchymedd,Ynys Môn,,,LL71 8DP,01248 470466,147
6602160,Ysgol Pencarnisiog,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pencarnisiog,Ty Croes,Ynys Môn,,LL63 5RY,01407 810622,72
6602161,Ysgol Gymuned Pentraeth,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentraeth,Ynys Môn,,,LL75 8UP,01248 450315,118
6602162,Ysgol Penysarn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penysarn,Ynys Môn,,,LL69 9AZ,01407 830678,87
6602163,Ysgol Santes Gwenfaen,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhoscolyn,Caergybi,Ynys Môn,,LL65 2DX,01407 860264,99
6602164,Ysgol Gynradd Rhosneigr,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosneigr,Ynys Môn,,,LL64 5XA,01407 810571,79
6602165,Ysgol Gynradd Rhosybol,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Rhosybol,Amlwch,Ynys Môn,,LL68 9PP,01407 830484,75
6602166,Ysgol Gynradd Talwrn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Talwrn,Llangefni,Ynys Môn,,LL77 7TG,01248 723363,40
6602168,Ysgol Gymuned y Fali,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Fali,Ynys Môn,,,LL65 3EU,01407 740518,91
6602169,Ysgol Llanfawr,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2DS,01407 762552,324
6602170,Ysgol Goronwy Owen,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Benllech,Ynys Môn,,,LL74 8SG,01248 852667,134
6602173,Ysgol Gynradd Y Tywyn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergeiliog,Ynys Môn,,,LL65 3LW,01407 740781,112
6602174,Ysgol Gynradd Llandegfan,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llandegfan,Porthaethwy,Ynys Môn,,LL59 5UW,01248 713431,166
6602175,Ysgol Gynradd Y Borth,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Porthaethwy,Ynys Môn,,,LL59 5DS,01248 713000,255
6602176,Ysgol Gynradd Kingsland,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2TH,01407 763295,187
6602177,Ysgol Gymraeg Morswyn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2PU,01407 762233,176
6602226,Ysgol Gynradd Corn Hir,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangefni,Ynys Môn,,,LL77 7JB,01248 722558,230
6602227,Ysgol Rhyd y Llan,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfaethlu,Caergybi,Ynys Môn,,LL65 4PQ,,150
6602228,Ysgol Gynradd Parc Y Bont,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanddaniel Fab,,,Ynys Môn,LL60 6ES,01248 422350,123
6603036,Ysgol Cybi,660,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Garreglwyd,,,CAERGYBI,LL65 1NS,01407 883150,448
6603037,Ysgol Santes Dwynwen,660,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Niwbwrch,,,Ynys Môn,LL61 6TE,,142
6603304,Ysgol Santes Fair,660,Isle of Anglesey,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Longford Road,Holyhead,Anglesey,,LL65 1TR,01407 763176,162
6604025,Ysgol Syr Thomas Jones,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Pentrefelin,Amlwch,Ynys Mon,,LL68 9TH,01407 830287,507
6604026,Ysgol Uwchradd Caergybi,660,Isle of Anglesey,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Caergybi,Ynys Môn,,,LL65 1NP,01407 762219,816
6604027,Ysgol Gyfun Llangefni,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llangefni,Ynys Môn,,,LL77 7NG,01248 723441,654
6604028,Ysgol David Hughes,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffordd Pentraeth,Porthaethwy,Ynys Môn,,LL59 5SS,01248 712287,1068
6604029,Ysgol Uwchradd Bodedern,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Bro Alaw,Bodedern,Caergybi,Ynys Môn,LL65 3TL,01407 741000,703
6605200,Ysgol Caergeiliog,660,Isle of Anglesey,Primary,Foundation,DS,Dual Stream,"Nursery, Infants & Juniors",---,Caergeiliog,Caergybi,Ynys Môn,,LL65 3NP,01407 740619,419
6607011,Canolfan Addysg Y Bont,660,Isle of Anglesey,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248 750151,102
6612000,Ysgol Gwaun Gyfni,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Deiniolen,Gwynedd,,,LL55 3LT,01286 870687,151
6612004,Ysgol Gynradd Nefyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Dewi Sant,Nefyn,Pwllheli,Gwynedd,LL53 6EA,01758 720765,147
6612006,Ysgol Llanrug,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 4AL,01286 674905,272
6612008,Ysgol Gynradd Abererch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abererch,Pwllheli,Gwynedd,,LL53 6YU,01758 613441,83
6612009,Ysgol Abersoch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pwllheli,Gwynedd,,,LL53 7EA,01758 712764,9
6612010,Ysgol Beddgelert,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Beddgelert,Gwynedd,,,LL55 4UY,01766 890307,25
6612011,Ysgol Bethel,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 1AX,01248 670663,144
6612013,Ysgol Bodfeurig,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tregarth,Gwynedd,,,LL57 4RN,01248 600760,65
6612015,Ysgol Gynradd Borth-Y-Gest,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9UF,01766 513285,47
6612017,Ysgol Brynaerau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pontllyfni,Caernarfon,Gwynedd,,LL54 5EU,01286 660428,61
6612026,Ysgol Y Gelli,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286 674847,235
6612028,Ysgol Penybryn,661,Gwynedd,Primary,Community,WM,Welsh medium,Juniors,---,Bethesda,Gwynedd,,,LL57 3BE,01248 600375,130
6612033,Ysgol Treferthyr,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Criccieth,Gwynedd,,,LL52 0DS,01766 522300,115
6612036,Ysgol Gynradd Chwilog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chwilog,Pwllheli,Gwynedd,,LL53 6PS,01766 810627,49
6612039,Ysgol Crud-Y-Werin,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Aberdaron,Pwllheli,Gwynedd,,LL53 8BP,01758 760205,64
6612042,Ysgol Dolbadarn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanberis,Gwynedd,,,LL55 4SH,01286 870711,184
6612046,Ysgol Gynradd Edern,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Rhos,Edern,Pwllheli,Gwynedd,LL53 8YW,01758 720272,77
6612047,Ysgol Felinwnda,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanwnda,Caernarfon,Gwynedd,,LL54 5UG,01286 830017,21
