"School Number",Latitude,Longitude,Easting,Northing
"6602130",53.412411,-4.346583,244130,393187
"6602131",53.264726,-4.102487,259868,376254
"6602132",53.293866,-4.499654,233496,380348
"6602133",53.26473,-4.360559,242658,376792
"6602134",53.199992,-4.40385,239529,369688
"6602135",53.268926,-4.475462,235012,377518
"6602136",53.178925,-4.2697,248414,367052
"6602138",53.408034,-4.455113,236901,392943
"6602139",53.165026,-4.327867,244477,365631
"6602140",53.221968,-4.277055,248075,371855
"6602141",53.372159,-4.432346,238278,388901
"6602142",53.253499,-4.414017,239051,375662
"6602145",53.355129,-4.24242,250852,386593
"6602146",53.301013,-4.232948,251294,380554
"6602152",53.221515,-4.206503,252783,371657
"6602153",53.390415,-4.459317,236554,390993
"6602154",53.259064,-4.295294,246990,376020
"6602155",53.291824,-4.089113,260848,379242
"6602156",53.236204,-4.353624,243016,373604
"6602157",53.331043,-4.375275,241922,384200
"6602160",53.234245,-4.469922,235248,373648
"6602161",53.281426,-4.218786,252170,378346
"6602162",53.390264,-4.314472,246184,390654
"6602163",53.2646,-4.596757,226907,377324
"6602164",53.230894,-4.515792,232174,373382
"6602165",53.373729,-4.364066,242826,388923
"6602166",53.273579,-4.273514,248494,377588
"6602168",53.28154,-4.567285,228940,379137
"6602169",53.307777,-4.623832,225278,382192
"6602170",53.322489,-4.22922,251617,382935
"6602172",53.167256,-4.353902,242745,365936
"6602173",53.26185,-4.523448,231785,376843
"6602174",53.244491,-4.149216,256684,374096
"6602175",53.229589,-4.167303,255427,372475
"6602176",53.299717,-4.626895,225041,381303
"6602177",53.302078,-4.623348,225287,381557
"6602226",53.259799,-4.326926,244883,376170
"6602227",53.353834,-4.534727,231396,387100
"6603034",53.214666,-4.248718,249941,370983
"6603035",53.189849,-4.329272,244473,368395
"6603036",53.310505,-4.642796,224026,382542
"6603304",53.308286,-4.635033,224534,382276
"6604025",53.403788,-4.352066,243734,392240
"6604026",53.311339,-4.63968,224237,382627
"6604027",53.25609,-4.320263,245314,375743
"6604028",53.228196,-4.177121,254767,372340
"6604029",53.292563,-4.503044,233265,380211
"6605200",53.274467,-4.531011,231330,378264
"6607011",53.257226,-4.321523,245234,375872
"6612000",53.148307,-4.129783,257662,363359
"6612004",52.935768,-4.523841,230480,340578
"6612006",53.147672,-4.192491,253467,363415
"6612008",52.903285,-4.385348,239666,336647
"6612009",52.823315,-4.506569,231204,328031
"6612010",53.013114,-4.106426,258782,348276
"6612011",53.164923,-4.205234,252674,365360
"6612013",53.177275,-4.091263,260332,366505
"6612015",52.913894,-4.140049,256197,337307
"6612017",53.037219,-4.321308,244455,351402
"6612026",53.147636,-4.258388,249060,363548
"6612028",53.180524,-4.058018,262564,366802
"6612033",52.917126,-4.23401,249891,337859
"6612035",53.142085,-4.16716,255142,362742
"6612036",52.919894,-4.335012,243111,338383
"6612039",52.806788,-4.714112,217153,326701
"6612042",53.11858,-4.127476,257718,360048
"6612046",52.922767,-4.565308,227642,339231
"6612047",53.099363,-4.293651,246530,358254
"6612048",52.925807,-4.384496,239807,339150
"6612049",52.972496,-4.242451,249516,344035
"6612051",53.216618,-4.141296,257120,370980
"6612059",52.975599,-4.403347,238725,344730
"6612060",52.858839,-4.489156,232514,331941
"6612066",52.94202,-4.351043,242114,340879
"6612069",53.188664,-4.065622,262082,367722
"6612070",53.041118,-4.28294,247041,351753
"6612075",52.930627,-4.548973,228771,340066
"6612078",53.05241,-4.188823,253388,352812
"6612081",53.029913,-4.269441,247906,350478
"6612085",53.152586,-4.163242,255439,363902
"6612089",53.054268,-4.278018,247417,353205
"6612093",52.928072,-4.450826,235357,339552
"6612097",53.17308,-4.131115,257655,366117
"6612098",53.091172,-4.230338,250740,357209
"6612099",53.097443,-4.245376,249755,357938
"6612103",52.810616,-4.519401,230290,326649
"6612104",52.928353,-4.134773,256600,338905
"6612108",53.054271,-4.255217,248945,353157
"6612110",52.939409,-4.146562,255844,340158
"6612111",52.992152,-4.427639,237157,346626
"6612112",52.898871,-4.622349,223711,336712
"6612113",53.112858,-4.2057,252464,359570
"6612116",53.225983,-4.117337,258750,371974
"6612118",53.214842,-4.149574,256561,370799
"6612119",53.136409,-4.25919,248967,362301
"6612122",53.115189,-4.268731,248254,359961
"6612123",53.213356,-4.15611,256120,370647
"6612125",52.881667,-4.418792,237336,334318
"6612126",53.177014,-4.053061,262884,366402
"6612127",53.176526,-4.215177,252049,366671
"6612180",52.908271,-3.595521,292795,335729
"6612181",52.724447,-4.061097,260901,316081
"6612185",52.65533,-3.843561,275394,307995
"6612189",52.783518,-4.096512,258701,322720
"6612190",52.958471,-3.932305,270298,341869
"6612192",52.938938,-3.958445,268483,339744
"6612194",52.8215,-4.097316,258770,326946
"6612198",52.954162,-4.062911,261512,341634
"6612199",52.858785,-3.674716,287341,330346
"6612205",52.984246,-3.929469,270566,344731
"6612207",52.585548,-3.922896,269821,300374
"6612208",52.929752,-4.067916,261098,338929
"6612210",52.899347,-4.066892,261069,335545
"6612211",52.985919,-3.960302,268501,344973
"6612212",52.584991,-4.083316,258952,300614
"6612213",52.901678,-3.922803,270767,335535
"6612214",52.939836,-3.634511,290253,339299
"6612219",52.862415,-4.107654,258207,331517
"6612220",52.933599,-3.540805,296535,338466
"6612221",52.9943,-3.939925,269894,345868
"6612227",53.231438,-4.122027,258455,372590
"6612228",52.626591,-4.071166,259908,305217
"6612229",53.077765,-4.275467,247671,355813
"6613004",52.849541,-4.585864,225967,331137
"6613005",53.141596,-4.259686,248952,362879
"6613009",53.208343,-4.168797,255256,370115
"6613010",52.853096,-4.522248,230264,331380
"6613013",53.217106,-4.099254,259928,370951
"6613018",53.078986,-4.312858,245171,356029
"6613023",52.922949,-4.272015,247357,338587
"6613029",53.190447,-4.08655,260690,367961
"6613030",53.220301,-4.151411,256457,371410
"6613300",53.14221,-4.269946,248268,362969
"6613301",53.221367,-4.13522,257541,371496
"6613305",52.911285,-3.599364,292544,336070
"6614002",53.184132,-4.066153,262032,367219
"6614003",52.853935,-4.581877,226253,331616
"6614004",53.150634,-4.191305,253556,363742
"6614007",53.053678,-4.278763,247365,353141
"6614009",52.931865,-4.13113,256856,339288
"6614031",52.992127,-3.935909,270157,345619
"6614032",52.584675,-4.08953,258530,300591
"6614033",52.913098,-3.596933,292712,336268
"6614034",52.862124,-4.111398,257954,331492
"6614036",53.217759,-4.152326,256387,371129
"6614037",53.220049,-4.144996,256884,371369
"6614039",53.145873,-4.264128,248670,363364
"6614040",52.881952,-4.423757,237003,334361
"6615500",52.741379,-3.879783,273194,317629
"6617002",53.147636,-4.258388,249060,363548
"6617010",52.926338,-4.080132,260266,338573
"6622002",53.191155,-3.842554,276992,367592
"6622012",53.091713,-3.819275,278266,356491
"6622023",53.274258,-3.903899,273140,376943
"6622038",53.293141,-3.821359,278697,378900
"6622043",53.052932,-3.884147,273809,352290
"6622044",53.316138,-3.835384,277828,381482
"6622053",53.311572,-3.7789,281578,380879
"6622061",53.320325,-3.830279,278180,381939
"6622063",53.316882,-3.825598,278482,381548
"6622086",53.041957,-3.800561,279380,350925
"6622103",53.310418,-3.748244,283617,380700
"6622104",53.217032,-3.608368,292702,370093
"6622106",53.291783,-3.765715,282402,378656
"6622107",53.203545,-3.847626,276689,368979
"6622108",53.287805,-3.703138,286562,378112
"6622110",53.305834,-3.524777,298494,379849
"6622111",53.287816,-3.576836,294981,377920
"6622112",53.287816,-3.576836,294981,377920
"6622114",53.289877,-3.720223,285429,378370
"6622115",53.257772,-3.974484,268383,375237
"6622118",53.305834,-3.524777,298494,379849
"6622121",53.31799,-3.81422,279243,381652
"6622123",53.026548,-3.561473,295371,348835
"6622131",53.223326,-3.527492,298117,370675
"6622132",53.178293,-3.598944,293235,365770
"6622148",53.194655,-3.685192,287514,367722
"6622221",53.287816,-3.576836,294981,377920
"6622222",53.084835,-3.770397,281520,355644
"6622225",53.26797,-3.793945,280454,376054
"6622264",53.280852,-3.656798,289633,377266
"6622267",53.289318,-3.702314,286621,378279
"6622269",53.290477,-3.760497,282746,378502
"6622270",53.046332,-3.679787,287488,351215
"6622271",53.137212,-3.796216,279937,361513
"6622272",53.293689,-3.718335,285565,378791
"6622273",53.287754,-3.679433,288142,378069
"6622274",53.285965,-3.791759,280650,378052
"6623020",53.252781,-3.975109,268326,374683
"6623021",53.255227,-3.846102,276939,374725
"6623024",53.268856,-3.914501,272417,376361
"6623032",53.019017,-3.736929,283584,348268
"6623038",53.270671,-3.538401,297502,375957
"6623039",53.156438,-3.785099,280734,363633
"6623040",53.217109,-3.793133,280366,370395
"6623043",53.27829,-3.833087,277873,377268
"6623059",53.288691,-3.643809,290519,378118
"6623062",53.247741,-3.639259,290718,373556
"6623302",53.318747,-3.790922,280797,381697
"6623303",53.312092,-3.821385,278749,381008
"6623307",53.325686,-3.838257,277664,382549
"6623333",53.296218,-3.73626,284377,379101
"6623340",53.264692,-3.682832,287855,375509
"6624022",53.314739,-3.823465,278618,381306
"6624023",53.285695,-3.836779,277648,378098
"6624035",53.133186,-3.786541,280573,361049
"6624038",53.311572,-3.7789,281578,380879
"6625201",53.288434,-3.737999,284240,378238
"6625400",53.285326,-3.577525,294929,377644
"6625402",53.290953,-3.717442,285617,378485
"6625403",53.285762,-3.705172,286421,377888
"6627007",53.319121,-3.804197,279914,381761
"6632011",53.299163,-3.412401,305967,378953
"6632037",53.289344,-3.4619,302646,377927
"6632038",53.316295,-3.486569,301064,380959
"6632039",53.31463,-3.469294,302211,380750
"6632057",53.269365,-3.508348,299503,375769
"6632059",53.330521,-3.408362,306305,382436
"6632060",53.315692,-3.483711,301253,380888
"6632066",53.310028,-3.472138,302011,380242
"6632067",53.315453,-3.414635,305854,380768
"6632070",53.219822,-3.360437,309262,370060
"6632072",53.325598,-3.46928,302237,381970
"6632124",53.247552,-3.500191,299996,373331
"6632125",53.188822,-3.409699,305905,366675
"6632127",53.200778,-3.458973,302640,368071
"6632134",53.188822,-3.409699,305905,366675
"6632135",53.175948,-3.336395,310776,365149
"6632136",53.187043,-3.407336,306059,366474
"6632164",53.152066,-3.314837,312168,362466
"6632168",53.066979,-3.272947,314801,352950
"6632214",53.009761,-3.447259,302993,346807
"6632215",52.983136,-3.326623,311032,343689
"6632216",52.989495,-3.381045,307392,344465
"6632219",53.007998,-3.379923,307507,346522
"6632227",53.325359,-3.412336,306029,381867
"6632234",52.96049,-3.150045,322846,340965
"6632255",53.114044,-3.304114,312808,358223
"6632256",53.114044,-3.304114,312808,358223
"6632261",53.159953,-3.374532,308193,363418
"6632262",53.102256,-3.199231,319806,356789
"6632263",52.96049,-3.150045,322846,340965
"6632264",53.328004,-3.427274,305040,382181
"6632265",53.336231,-3.398263,306990,383058
"6632266",53.184623,-3.430873,304481,366236
"6632267",52.958706,-3.403139,305842,341069
"6632268",53.07678,-3.370463,308288,354161
"6633020",53.246156,-3.376739,308230,373010
"6633024",53.25648,-3.44177,303914,374244
"6633044",53.133472,-3.28391,314199,360360
"6633045",53.088383,-3.293632,313458,355356
"6633050",53.113965,-3.31841,311851,358232
"6633057",53.143059,-3.428967,304516,361610
"6633061",53.061536,-3.19968,319700,352260
"6633062",53.258528,-3.454492,303070,374489
"6633315",53.313801,-3.475299,301809,380666
"6633316",53.22402,-3.422929,305099,370608
"6634003",53.319976,-3.475348,301820,381353
"6634014",53.326539,-3.406864,306396,381991
"6634020",53.255076,-3.438185,304150,374083
"6634026",53.185479,-3.408018,306010,366301
"6634027",52.973792,-3.170338,321507,342467
"6634031",53.114591,-3.297661,313241,358276
"6634601",53.314463,-3.477694,301651,380743
"6635901",53.198793,-3.404982,306242,367778
"6637000",53.311197,-3.480118,301482,380383
"6637010",53.185112,-3.409398,305917,366262
"6642002",53.278208,-3.189244,320800,376351
"6642003",53.265881,-3.168585,322155,374957
"6642004",53.167523,-3.082618,327723,363925
"6642012",53.19017,-3.066336,328849,366428
"6642013",53.32562,-3.304208,313231,381759
"6642015",53.246381,-3.133405,324467,372750
"6642018",53.28899,-3.213771,319185,377578
"6642021",53.328708,-3.309557,312881,382109
"6642024",53.115018,-3.033622,330914,358036
"6642026",53.231762,-3.245351,316969,371248
"6642028",53.162415,-3.146208,323463,363423
"6642032",53.202308,-3.097777,326769,367810
"6642040",53.178373,-2.922073,338471,364982
"6642041",53.213553,-3.011554,332546,368977
"6642043",53.190446,-3.133799,324342,366528
"6642044",53.307813,-3.324527,311841,379803
"6642046",53.308514,-3.262337,315986,379806
"6642049",53.280111,-3.254332,316464,376637
"6642050",53.213471,-3.177895,321438,369137
"6642051",53.114967,-3.118052,325263,358115
"6642052",53.216877,-3.064393,329023,369397
"6642053",53.198289,-3.012646,332449,367280
"6642056",53.157136,-3.17046,321832,362862
"6642061",53.206662,-3.02575,331587,368223
"6642062",53.166386,-3.139014,323951,363857
"6642063",53.171045,-3.072653,328395,364307
"6642064",53.179315,-3.233506,317659,365400
"6642065",53.262698,-3.231122,317978,374673
