"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"Wales ","","","",64149.5251949999,46006.850055,50393.714034,46420.689847,31285.697442
"Wales ","Isle of Anglesey ","","",2463,2089,1869,633,198
"","Isle of Anglesey ","Isle of Anglesey - Nursery ","",".",".",".",".","."
"","","Isle of Anglesey - Primary ","",1993,1706,1380,951,975
"","","Isle of Anglesey - Primary ","5122129 - Ysgol Gynradd Aberffraw ",".",".",".",".","."
"","","","5122130 - Ysgol Gynradd Amlwch ",24,8,23,20,37
"","","","5122131 - Ysgol Gynradd Beaumaris ",19,11,20,-12,3
"","","","5122132 - Ysgol Gynradd Bodedern ",22,25,16,-4,0
"","","","5122133 - Ysgol Gymuned Bodffordd ",12,0,2,-10,-13
"","","","5122134 - Ysgol Gymuned Bodorgan ",14,28,34,72,0
"","","","5122135 - Ysgol Gymuned Bryngwran ",26,22,24,20,14
"","","","5122136 - Ysgol Gynradd Brynsiencyn ",29,6,-13,6,4
"","","","5122138 - Ysgol Gynradd Cemaes ",22,25,40,26,32
"","","","5122139 - Ysgol Gymuned Dwyran ",16,16,38,32,0
"","","","5122140 - Ysgol Gynradd Esceifiog ",28,51,77,58,54
"","","","5122141 - Ysgol Garreglefn ",24,33,5,-1,-15
"","","","5122142 - Ysgol Gymuned Y Ffridd ",52,12,29,33,38
"","","","5122144 - Ysgol Gynradd y Parc ",84,75,0,".","."
"","","","5122145 - Ysgol Gymuned Moelfre ",45,42,15,-27,-14
"","","","5122146 - Ysgol Gynradd Llanbedrgoch ",22,13,21,31,46
"","","","5122147 - Ysgol Gynradd Llandrygarn ",".",".",".",".","."
"","","","5122148 - Ysgol Gynradd Llanddeusant ",".",".",".",".","."
"","","","5122149 - Ysgol Gynradd Llanddona ",".",".",".",".","."
"","","","5122150 - Ysgol Gynradd Llanfachraeth ",18,14,0,".","."
"","","","5122151 - Ysgol Ffrwd Win ",22,19,0,".","."
"","","","5122152 - Ysgol Llanfairpwllgwyngyll ",55,22,39,0,-21
"","","","5122153 - Ysgol Gymuned Llanfechell ",7,-1,5,20,4
"","","","5122154 - Ysgol Y Graig ",104,63,12,-36,1
"","","","5122155 - Ysgol Gynradd Llangoed ",38,14,6,11,12
"","","","5122156 - Ysgol Henblas ",10,12,5,19,40
"","","","5122157 - Ysgol Gymuned Llanerch-y-medd ",-2,-16,10,4,5
"","","","5122158 - Ysgol Gymuned Cylch Y Garn ",30,36,0,".","."
"","","","5122160 - Ysgol Gynradd Pencarnisiog ",11,-4,4,-13,4
"","","","5122161 - Ysgol Gymuned Pentraeth ",28,8,15,-11,-20
"","","","5122162 - Ysgol Gynradd Penysarn ",-1,2,1,3,8
"","","","5122163 - Ysgol Gynradd Santes Gwenfaen ",25,8,43,47,47
"","","","5122164 - Ysgol Gynradd Rhosneigr ",64,55,60,56,67
"","","","5122165 - Ysgol Rhosybol ",40,27,55,39,51
"","","","5122166 - Ysgol Gynradd Talwrn ",18,39,52,34,16
"","","","5122167 - Ysgol Ty Mawr ",".",".",".",".","."
"","","","5122168 - Ysgol Gymuned y Fali ",67,73,36,27,43
"","","","5122169 - Ysgol Llanfawr ",73,31,28,31,14
"","","","5122170 - Ysgol Goronwy Owen ",-22,-32,-24,-81,-83
"","","","5122171 - Ysgol Llaingoch ",75,61,0,".","."
"","","","5122172 - Ysgol Gynradd Niwbwrch ",42,44,38,37,0
"","","","5122173 - Ysgol y Tywyn ",92,78,73,65,39
"","","","5122174 - Ysgol Gynradd Llandegfan ",49,34,52,64,76
"","","","5122175 - Ysgol Y Borth ",44,81,83,70,43
"","","","5122176 - Ysgol Gynradd Kingsland ",55,83,55,22,27
"","","","5122177 - Ysgol Gymraeg Morswyn ",31,31,25,-11,0
"","","","5122226 - Ysgol Corn Hir ",76,94,64,23,28
"","","","5122227 - Ysgol Rhyd y Llan ",".",".",17,15,13
"","","","5123033 - Ysgol Y Parchedig Thomas Ellis ",132,113,0,".","."
"","","","5123034 - Ysgol Parc Y Bont ",17,29,30,47,7
"","","","5123035 - Ysgol Llangaffo ",24,13,9,-7,0
"","","","5123036 - Ysgol Cybi ",".",".",93,113,124
"","","","5123037 - Ysgol Santes Dwynwen ",".",".",".",".",151
"","","","5123304 - Ysgol Santes Fair ",56,25,24,-43,-40
"","","","5125200 - Ysgol Gynradd Caergeiliog ",276,283,139,162,133
"","","Isle of Anglesey - Secondary ","",304,227,410,-258,-693
"","","Isle of Anglesey - Secondary ","5124025 - Ysgol Syr Thomas Jones ",-135,-209,-205,-444,-508
"","","","5124026 - Ysgol Uwchradd Caergybi ",0,158,161,-106,-291
"","","","5124027 - Ysgol Gyfun Llangefni ",71,31,66,-66,-138
"","","","5124028 - Ysgol David Hughes ",158,82,98,40,52
"","","","5124029 - Ysgol Uwchradd Bodedern ",210,165,290,318,192
"","","Isle of Anglesey - Middle ","",".",".",".",".","."
"","","Isle of Anglesey - Special ","5127011 - Ysgol Y Bont ",166,156,79,-60,-84
"","Gwynedd ","","",3336.57019,2878.531532,4018.478389,4037.233153,4332.990542
"","Gwynedd ","Gwynedd - Nursery ","",".",".",".",".","."
"","","Gwynedd - Primary ","",2479.441501,2018.514784,2743.04463,2517.897381,2469.192859
"","","Gwynedd - Primary ","5142000 - Ysgol Gwaun Gynfi ",51.816133,45.577015,52.915483,30.002332,60.327837
"","","","5142004 - Ysgol Gynradd Nefyn ",10.22869,24.609064,22.489186,18.071778,20.620429
"","","","5142006 - Ysgol Gynradd Llanrug ",-38.344788,22.252853,39.204453,23.916495,30.326793
"","","","5142008 - Ysgol Gynradd Abererch ",12.051929,11.470183,38.05761,38.927148,56.175739
"","","","5142009 - Ysgol Gynradd Abersoch ",14.140619,4.165503,7.80455,3.067657,2.371426
"","","","5142010 - Ysgol Gynradd Beddgelert ",9.136684,11.325921,29.24092,19.009286,12.272796
"","","","5142011 - Ysgol Gynradd Bethel ",43.944137,8.33299,25.483764,15.174855,10.804177
"","","","5142013 - Ysgol Bodfeurig ",29.613384,21.256491,18.533716,13.352905,21.837817
"","","","5142015 - Ysgol Borthygest ",11.630535,11.338463,40.061376,34.857386,21.517392
"","","","5142016 - Ysgol Bronyfoel ",0,".",".",".","."
"","","","5142017 - Ysgol Brynaerau ",28.001096,19.021318,38.828336,30.303153,33.653716
"","","","5142024 - Ysgol Gynradd Carmel ",0,".",".",".","."
"","","","5142026 - Ysgol Y Gelli ",26.206717,30.976117,38.452078,36.763082,30.648498
"","","","5142028 - Ysgol Pen-y-bryn ",62.560956,71.575899,65.65189,34.918603,8.359011
"","","","5142033 - Ysgol Treferthyr ",21.537941,18.945493,37.838382,27.526818,32.557182
"","","","5142035 - Ysgol Gynradd Cwm-y-Glo ",20.429398,11.276467,18.101589,36.860113,0
"","","","5142036 - Ysgol Gynradd Chwilog ",18.232118,0.546564,-6.097461,-4.537878,0.209559
"","","","5142039 - Ysgol Crud y Werin ",7.234497,0.122934,3.935816,17.857485,18.396256
"","","","5142042 - Ysgol Dolbadarn ",84.132077,87.505677,85.755489,45.877142,53.035516
"","","","5142046 - Ysgol Gynradd Edern ",17.945629,36.402692,28.721139,9.512965,31.020294
"","","","5142047 - Ysgol Gynradd Felinwnda ",8.433223,7.715992,26.916269,40.921309,10.288268
"","","","5142048 - Ysgol Bro Plenydd ",-2.879081,1.417765,9.011677,25.776687,16.563835
"","","","5142049 - Ysgol Garndolbenmaen ",12.600013,9.914928,21.386754,6.789538,0.088285
