"","","","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"Wales ","","",67268.971151,69244.223478,59650.424069,63588.093611,64149.5251949999,46006.850055,50393.714034,46420.689847,31738.795572
"Wales ","Isle of Anglesey ","",1251,1184,1518,2438,2463,2089,1869,633,198
"","Isle of Anglesey ","Isle of Anglesey - Nursery ",".",".",".",".",".",".",".",".","."
"","","Isle of Anglesey - Primary ",777,996,1204,1711,1993,1706,1380,951,975
"","","Isle of Anglesey - Secondary ",384,160,309,629,304,227,410,-258,-693
"","","Isle of Anglesey - Middle ",".",".",".",".",".",".",".",".","."
"","","Isle of Anglesey - Special ",90,28,5,98,166,156,79,-60,-84
"","Gwynedd ","",4437.619511,3813.316728,3776.84679,3495.580381,3336.57019,2878.531532,4018.478389,4037.233153,4332.990542
"","Gwynedd ","Gwynedd - Nursery ",".",".",".",".",".",".",".",".","."
"","","Gwynedd - Primary ",2309.098094,2343.864623,2567.330496,2613.766006,2479.441501,2018.514784,2743.04463,2517.897381,2469.192859
"","","Gwynedd - Secondary ",2059.414759,1473.367141,1139.96914,820.05458,791.814997,816.786739,893.695237,973.686629,1428.560342
"","","Gwynedd - Middle ",".",".",".",".",".",".",425.371694,484.78943,398.894001
"","","Gwynedd - Special ",69.106658,-3.915036,69.547154,61.759795,65.313692,43.230009,-43.633172,60.859713,36.34334
"","Conwy ","",4254.597235,3774.67154,3437.855095,3733.141083,4011.806948,3248.559904,3364.213614,2495.408112,1802.233205
"","Conwy ","Conwy - Nursery ",".",".",".",".",".",".",".",".","."
"","","Conwy - Primary ",2507.724096,2297.272979,1970.275095,2096.846522,2359.102538,2047.605279,2362.382501,2163.559897,2284.194278
"","","Conwy - Secondary ",1497.873139,1344.398561,1375.58,1467.924595,1434.355602,1098.564625,923.874682,203.365567,-543.071162
"","","Conwy - Middle ",".",".",".",".",".",".",".",".","."
"","","Conwy - Special ",249,133,92,168.369966,218.348808,102.39,77.956431,128.482648,61.110089
"","Denbighshire ","",1801.062,2869.77386,3892.35877,3537.94878,1561.58887,-1056.16015,-343.37655,-170.8544,-1387.58831
"","Denbighshire ","Denbighshire - Nursery ",".",".",".",".",".",".",".",".","."
"","","Denbighshire - Primary ",1378.599,1650.29083,1898.77577,1174.49926,207.00569,-92.01082,926.33942,1253.05902,935.305
"","","Denbighshire - Secondary ",178.357,391.36504,894.59218,1358.28699,592.35121,-1274.26472,-1511.0072,-1651.45523,-1770.445
"","","Denbighshire - Middle ",".",".",".",28.45081,-75.66709,-219.64,-282.528,-295.03787,-827.586
"","","Denbighshire - Special ",244.106,828.11799,1098.99082,976.71172,837.89906,529.75539,523.81923,522.57968,275.13769
"","Flintshire ","",2742.333,2606.04576,2171.47904,2292.70359,2349.58906,1567.70613,1284.79883,1335.08699,112.58223
"","Flintshire ","Flintshire - Nursery ",21,22,24,0,".",".",".",".","."
"","","Flintshire - Primary ",2182.333,1873.04576,1727.13106,2149.95932,2576.57753,2213.78822,2402.46167,2565.10871,1919.95632
"","","Flintshire - Secondary ",354,528,114.34798,-115.1543,-455.22523,-876.07619,-1285.85584,-1454.81096,-2093.6766
"","","Flintshire - Middle ",".",".",".",".",".",".",".",".","."
"","","Flintshire - Special ",185,183,306,257.89857,228.23676,229.9941,168.193,224.78924,286.30251
"","Wrexham ","",1463.244,1695.243,1841.3522,2560.29993,2579.77303,1642.16587,2012.37454,1821.02292,2112.92732
"","Wrexham ","Wrexham - Nursery ",24.027,15.742,11.8738,27.5903,20,14.60515,17.60026,18.3698,29.05226
"","","Wrexham - Primary ",1594.183,1457.526,1492.93529,1956.81115,1951.85998,1549.19566,2179.75051,2313.34079,2445.92907
"","","Wrexham - Secondary ",-81.71,229.907,335.94578,620.66713,608.77575,110.93278,-151.32274,-361.09081,-311.87552
"","","Wrexham - Middle ",".",".",".",".",".",".",".",".","."
"","","Wrexham - Special ",-73.256,-7.932,0.59733,-44.76865,-0.8627,-32.56772,-33.65349,-149.59686,-50.17849
"","Powys ","",2149.51657,2595.118,2825.331,3128.5665,2438.55996,37.9435999999998,-831.986940000002,-366.41485,-938.963139999998
"","Powys ","Powys - Nursery ",".",".",".",".",".",".",".",".","."
"","","Powys - Primary ",1934.423,1887.182,2398.183,2813.97589,2484.61209,1549.33703,2221.0054,2535.86285,2617.66966
"","","Powys - Secondary ",-261.993,234.294,51.9279999999999,286.67578,109.84209,-1118.48867,-2740.11399,-2674.33907,-3270.31732
"","","Powys - Middle ",".",".",".",14.90428,7.69373,-133.59062,-181.37568,-105.20816,-162.07144
"","","Powys - Special ",477.08657,473.642,375.22,13.01055,-163.58795,-259.31414,-131.50267,-122.73047,-124.24404
"","Ceredigion ","",1406.863085,1572.768,1508.046,1043.681,1939.979,1726.607739,1948.456,1819.886889,2679.721745
"","Ceredigion ","Ceredigion - Nursery ",".",".",".",".",".",".",".",".","."
"","","Ceredigion - Primary ",1036.503954,1253.015,1363.264,1234.019,1676.922,1472.920979,1553.747,1349.352823,1521.598551
"","","Ceredigion - Secondary ",370.359131,319.753,77.698,-141.975,277.856,65.58644,314.839,214.49862,639.55143
"","","Ceredigion - Middle ",".",".",67.084,-48.363,-14.799,188.10032,79.87,256.035446,518.571764
"","","Ceredigion - Special ",".",".",".",".",".",".",".",".","."
"","Pembrokeshire ","",3423,2778,2312,2183,2156,1209,1693.42583,2420.16215,2077.12734
"","Pembrokeshire ","Pembrokeshire - Nursery ",".",".",".",".",".",".",".",".","."
"","","Pembrokeshire - Primary ",2434,2204,2058,2104,1953,1283,1617.43222,1776.16215,1511.12734
"","","Pembrokeshire - Secondary ",874,499,158,-14,105,-160,-87.00639,455,644
"","","Pembrokeshire - Middle ",".",".",".",".",".",".",".",9,-113
"","","Pembrokeshire - Special ",115,75,96,93,98,86,163,180,35
"","Carmarthenshire ","",5991.868,5280.564,4185.491,3940.978,3676.508,1710.042,1515.061,-393.336,-2001.016
"","Carmarthenshire ","Carmarthenshire - Nursery ",124.986,115.344,10.013,28.647,19.422,36.945,45.544,40.007,64.227
