"","","","","Mid-year 1991 ","Mid-year 1992 ","Mid-year 1993 ","Mid-year 1994 ","Mid-year 1995 ","Mid-year 1996 ","Mid-year 1997 ","Mid-year 1998 ","Mid-year 1999 ","Mid-year 2000 ","Mid-year 2001 ","Mid-year 2002 ","Mid-year 2003 ","Mid-year 2004 ","Mid-year 2005 ","Mid-year 2006 ","Mid-year 2007 ","Mid-year 2008 ","Mid-year 2009 ","Mid-year 2010 ","Mid-year 2011 ","Mid-year 2012 ","Mid-year 2013 ","Mid-year 2014 ","Mid-year 2015 ","Mid-year 2016 ","Mid-year 2017 ","Mid-year 2018 "
"United Kingdom ","","","",11684673,11791648,11900912,12003625,12030726,12017882,12017233,12012535,12011271,11959452,11863133,11799338,11758366,11711268,11687122,11670953,11677306,11711906,11760627,11813540,11882880,11983545,12058589,12153221,12257865,12390097,12505357,12624179
"United Kingdom ","Great Britain ","","",11268134,11373679,11482384,11585726,11614269,11602755,11603785,11601283,11603761,11556263,11465600,11407682,11372459,11330021,11308352,11293804,11300233,11333421,11381107,11433581,11502074,11601404,11675982,11769438,11872665,12002096,12114673,12230669
"","Great Britain ","England ","",9658008,9758251,9856416,9950572,9984479,9985296,9996289,10002787,10014267,9980130,9908394,9868314,9849004,9819144,9808179,9802937,9815553,9852867,9903897,9960792,10030130,10130226,10209238,10303556,10405114,10529100,10637971,10748458
"","","Wales ","",589177,593240,598293,602651,601235,598475,597481,595907,594098,591370,586832,581551,577348,573131,568116,564632,561055,558911,556965,554991,555841,556552,555165,554841,555289,557079,559260,562709
"","","Wales ","Isle of Anglesey ",14328,14301,14402,14377,14078,13930,13832,13606,13581,13397,13219,13074,12897,12824,12646,12460,12230,12069,11992,11956,11890,12013,12051,12060,11986,11990,11986,12055
"","","","Gwynedd ",22201,22356,22524,22835,22976,22826,22863,22854,22459,22476,22603,22361,22085,21689,21360,21291,21209,21040,20965,20939,20868,21069,20930,20895,20905,20925,20820,20851
"","","","Conwy ",19419,19473,19674,19945,19969,19626,19811,19820,20115,20125,20201,20214,20121,20186,19909,19734,19481,19321,19278,19149,19063,19063,18959,18938,18911,18837,18928,19009
"","","","Denbighshire ",17066,17051,17259,17450,17501,17675,17722,17809,18100,18356,18282,18297,18151,17971,17771,17578,17468,17391,17170,17007,17020,16927,16996,17140,17152,17202,17217,17271
"","","","Flintshire ",29742,30134,30343,30527,30535,30260,30319,30442,30684,30732,30494,30363,30151,29870,29617,29206,28959,28733,28669,28610,28584,28483,28410,28420,28385,28484,28555,28745
"","","","Wrexham ",26005,26097,26223,26434,26187,26026,25763,25603,25645,25541,25317,25117,25096,25010,24924,24924,24919,25034,25229,25394,25842,26071,26170,26246,26258,26144,26183,26251
"","","","Powys ",23281,23457,23656,23757,23888,24288,24322,24363,24456,24528,24475,24505,24532,24440,24281,24143,23788,23606,23309,22923,22761,22407,22107,21919,21599,21267,21293,21198
"","","","Ceredigion ",12037,12324,12534,12656,12735,12484,12515,12562,12822,12851,12787,12475,12250,12093,11926,11805,11671,11437,11299,11233,11165,11113,11050,11006,10935,10895,10875,10950
"","","","Pembrokeshire ",23268,23555,23752,23681,23310,23282,23072,23014,22998,23172,23242,23258,23349,23201,22976,22843,22604,22414,22185,21990,22002,22003,21793,21597,21437,21356,21324,21423
"","","","Carmarthenshire ",32784,32787,32976,33180,33299,33183,33220,33239,33580,33580,33764,33662,33761,33656,33429,33261,33300,33244,32990,32739,33026,32964,32746,32633,32690,32812,32895,33220
"","","","Swansea ",45880,45952,46029,45571,45328,44680,44273,43615,43305,42837,42195,41698,41532,41492,41301,41248,41220,41204,41256,41181,41322,41464,41495,41449,41640,41930,41971,42001
"","","","Neath Port Talbot ",28097,28198,28270,28891,28237,27920,27692,27357,27015,26701,26339,26070,26066,26026,25909,25635,25469,25327,25088,24837,24674,24627,24391,24507,24631,24773,24735,24952
"","","","Bridgend ",26774,26896,27136,27347,27326,26908,26736,26674,26683,26398,26286,26192,26262,26126,26006,26012,25971,25828,25669,25423,25358,25522,25530,25483,25606,25791,25916,26109
"","","","Vale of Glamorgan ",25401,25367,25371,25491,25324,25328,25430,25722,25631,25700,25562,25460,25259,25087,24822,24577,24437,24381,24141,24000,23776,23818,23756,23673,23638,23729,24126,24451
"","","","Cardiff ",61978,63033,64266,64886,65384,66318,66424,66507,65272,64353,63276,62166,61028,60289,59909,60135,60497,60786,61356,62071,63074,63864,64686,65296,65896,66558,66910,67425
"","","","Rhondda Cynon Taf ",49848,50103,50474,50678,50484,50009,49972,49435,49200,48746,48244,47371,46805,46346,45835,45308,44646,44493,44393,44207,44325,44380,44218,44206,44127,44451,44659,44855
"","","","Merthyr Tydfil ",13199,13403,13493,13579,13459,13241,13009,12838,12540,12323,12018,11767,11617,11493,11423,11245,11181,11184,11122,10973,10969,11014,11002,11018,11092,11243,11383,11553
"","","","Caerphilly ",37885,37923,38160,38310,37889,37355,37221,37119,36953,36754,36564,36472,36157,35892,35375,35227,35030,34906,34828,34855,34831,34675,34271,34173,34208,34146,34182,34079
"","","","Blaenau Gwent ",15095,15316,15578,15885,15833,15786,15776,15696,15453,15279,14899,14480,14132,13879,13642,13443,13165,13002,12740,12560,12474,12382,12373,12253,12152,12056,11973,12189
"","","","Torfaen ",19573,19736,19796,20025,20088,20034,20093,20076,19959,19826,19389,19032,18839,18504,18241,18096,17867,17710,17574,17344,17204,17159,16969,16926,16831,16902,17033,17250
"","","","Monmouthshire ",15939,16074,16381,16684,16927,16989,16982,16741,16878,16933,16954,17072,17145,17251,17191,17029,16855,16689,16555,16354,16213,16067,15841,15631,15508,15435,15350,15462
"","","","Newport ",29377,29704,29996,30462,30478,30327,30434,30815,30769,30762,30722,30445,30113,29806,29623,29432,29088,29112,29157,29246,29400,29467,29421,29372,29702,30153,30946,31410
"","","Scotland ","Scotland ",1020949,1022188,1027675,1032503,1028555,1018984,1010015,1002589,995396,984763,970374,957817,946107,937746,932057,926235,923625,921643,920245,917798,916103,914626,911579,911041,912262,915917,917442,919502
"","Northern Ireland ","Northern Ireland ","Northern Ireland ",416539,417969,418528,417899,416457,415127,413448,411252,407510,403189,397533,391656,385907,381247,378770,377149,377073,378485,379520,379959,380806,382141,382607,383783,385200,388001,390684,393510


