"","","","","Mid-year 1991 ","Mid-year 1992 ","Mid-year 1993 ","Mid-year 1994 ","Mid-year 1995 ","Mid-year 1996 ","Mid-year 1997 ","Mid-year 1998 ","Mid-year 1999 ","Mid-year 2000 ","Mid-year 2001 ","Mid-year 2002 ","Mid-year 2003 ","Mid-year 2004 ","Mid-year 2005 ","Mid-year 2006 ","Mid-year 2007 ","Mid-year 2008 ","Mid-year 2009 ","Mid-year 2010 ","Mid-year 2011 ","Mid-year 2012 ","Mid-year 2013 ","Mid-year 2014 ","Mid-year 2015 ","Mid-year 2016 ","Mid-year 2017 ","Mid-year 2018 ","Mid-year 2019 "
"United Kingdom ","","","",36695001,36690573,36676306,36704336,36798216,36923269,37053466,37192390,37395652,37618816,37877045,38136515,38388827,38689503,39111206,39501861,39898794,40218238,40428051,40683189,40944079,40880539,40915224,41036710,41241002,41443872,41545550,41645814,41724010
"United Kingdom ","Great Britain ","","",35712519,35695993,35671422,35691834,35780519,35893452,36013602,36145281,36344294,36560309,36809830,37057466,37299169,37588878,37997148,38373947,38756112,39065071,39267605,39517950,39776329,39711865,39747240,39865911,40066405,40267491,40368375,40465880,40540992
"","Great Britain ","England ","",30629900,30618861,30596209,30614564,30702226,30815408,30935162,31064268,31259076,31469698,31705826,31930099,32147453,32399596,32769846,33107769,33440372,33713005,33892197,34118045,34347372,34306995,34351400,34475354,34669641,34856126,34950948,35049467,35116566
"","","Wales ","",1790686,1787493,1785823,1784855,1785189,1789854,1794141,1799111,1803736,1811919,1817359,1832035,1847827,1867955,1881441,1897093,1915370,1928555,1934310,1937725,1941524,1931637,1926617,1922448,1919024,1921434,1922636,1923929,1926668
"","","Wales ","Isle of Anglesey ",42558,42690,42833,42293,41849,42122,41697,41479,41724,41731,41775,41791,41988,42403,42666,42926,43161,43117,42794,42450,42294,41776,41441,41114,40685,40130,39996,39914,39656
"","","","Gwynedd ",70823,70910,70945,71286,72247,72335,72342,72169,71725,72040,72016,72544,73232,74160,74241,74510,74624,74727,74891,75409,75336,74795,74055,73723,74232,74694,74951,75156,75379
"","","","Conwy ",62659,62401,62462,63182,63174,62631,62855,63198,63072,63361,64128,64786,65324,66063,66339,66896,67668,67948,67897,67621,67881,67330,67194,67033,66631,66534,66194,66018,65476
"","","","Denbighshire ",52973,52759,52840,52966,53196,53826,53882,54275,54646,55391,55957,56270,56701,56966,57112,57245,57801,57937,57724,57437,57044,56543,56327,55978,55623,55402,55271,55100,55109
"","","","Flintshire ",91735,92511,92623,92812,92960,92459,92850,94090,94365,95268,95932,96023,96056,96450,96536,96829,97358,97672,97464,97004,96973,95898,95477,95098,94716,94446,94405,94196,94078
"","","","Wrexham ",78160,78262,78303,78466,78757,79056,79404,80027,80816,81586,82596,82904,83185,83222,83452,84360,85060,85591,85906,86047,86182,85396,84826,84294,83452,83129,82909,82916,82376
"","","","Powys ",73696,73895,74176,74227,74337,75728,76046,76599,76553,76607,76641,77043,77852,78839,79242,79766,80449,80769,80510,80012,79783,78859,77959,77265,76974,76338,76070,75474,74896
"","","","Ceredigion ",41296,42388,43332,44125,44803,44750,45789,46227,47479,48252,48579,48790,48965,49188,48937,48887,48825,48486,48013,48342,48353,48446,48019,47016,45950,45126,44245,43847,43379
"","","","Pembrokeshire ",69786,69811,69006,69212,68538,68295,67945,67937,67609,68114,68237,68864,69261,70184,70825,71610,72744,73790,73823,73761,73697,73228,72827,72708,72035,71962,71858,71502,71638
"","","","Carmarthenshire ",103387,102729,102424,102878,103727,104050,104470,104926,105052,105516,106133,106772,107957,109200,109988,111047,112294,112856,112784,112562,112488,111798,111348,110816,110433,110275,110086,110337,110658
"","","","Swansea ",144004,143452,142897,141813,141660,141672,141560,140960,140844,140804,140347,142051,143762,145672,147019,148501,150072,151347,152302,153590,154336,153629,153255,153259,153865,155329,155960,156416,156484
"","","","Neath Port Talbot ",85470,84980,84601,84793,84122,84014,83766,83659,83439,83439,83405,84145,85389,86278,86897,87725,88369,88804,88828,88861,89002,88469,87934,87851,87868,88105,88196,88424,88199
"","","","Bridgend ",81321,81471,81564,81294,80707,80478,80026,80699,80722,80651,81126,82045,83056,83791,84663,85672,87042,87912,88133,88502,89024,88373,88396,88406,88794,89157,89437,89388,90908
