"","Nursery 1 ","","","","","Nursery 1 ","Nursery 2 ","","","","","Nursery 2 ","Reception ","","","","","Reception ","Year Group 1 ","","","","","Year Group 1 ","Year Group 2 ","","","","","Year Group 2 ","Year Group 3 ","","","","","Year Group 3 ","Year Group 4 ","","","","","Year Group 4 ","Year Group 5 ","","","","","Year Group 5 ","Year Group 6 ","","","","","Year Group 6 ","Year Group 7 ","","","","","Year Group 7 ","Year Group 8 ","","","","","Year Group 8 ","Year Group 9 ","","","","","Year Group 9 ","Year Group 10 ","","","","","Year Group 10 ","Year Group 11 ","","","","","Year Group 11 ","Year Group 12 ","","","","","Year Group 12 ","Year Group 13 ","","","","","Year Group 13 ","Year Group 14 ","","","","","Year Group 14 "
"","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)","."
"Isle of Anglesey (1)",".",".",".",".","."," ",".",595,".",".","*"," ",".",715,".",".",10," ",".",755,".",".","*"," ",".",775,".",".",5," ",".",780,".",".",10," ",".",765,".",".",5," ",".",750,".",".",5," ",".",740,".",".",5," ",".",".",".",650,10," ",".",".",".",640,5," ",".",".",".",640,10," ",".",".",".",650,5," ",".",".",".",595,10," ",".",".",".",285,5," ",".",".",".",250,"*"," ",".",".",".",".",5," "
"Gwynedd (1)",".",".",".",".","."," ",".",1010,55,".","*"," ",".",1120,40,".",5," ",".",1160,45,".",15," ",".",1265,45,".",15," ",".",1220,50,".",10," ",".",1265,30,".",15," ",".",1215,45,".",15," ",".",1210,45,".",10," ",".",".",40,1310,10," ",".",".",45,1295,15," ",".",".",55,1170,20," ",".",".",50,1150,15," ",".",".",45,1075,20," ",".",".",".",345,20," ",".",".",".",335,15," ",".",".",".",".",15," "
"Conwy (1)",".",".",".",".","."," ",".",1050,".",".","*"," ",".",1070,".",".",10," ",".",1140,".",".",10," ",".",1160,".",".",15," ",".",1200,".",".",20," ",".",1195,".",".",20," ",".",1110,".",".",10," ",".",1140,".",".",10," ",".",".",".",1100,15," ",".",".",".",1120,20," ",".",".",".",1100,20," ",".",".",".",1075,20," ",".",".",".",995,20," ",".",".",".",585,10," ",".",".",".",535,10," ",".",".",".",".",15," "
"Denbighshire (1)",".",20,".",".","."," ",".",1045,10,".","."," ",".",1085,10,".",5," ",".",1115,10,".",5," ",".",1055,15,".",5," ",".",1125,20,".",15," ",".",1100,20,".",20," ",".",1065,30,".",15," ",".",1130,30,".",20," ",".",".",55,1165,25," ",".",".",55,1150,25," ",".",".",55,1120,25," ",".",".",55,1075,35," ",".",".",55,970,25," ",".",".",30,380,25," ",".",".",25,335,15," ",".",".",".",".",10," "
"Flintshire (1)",".",70,".",".","."," ",".",1535,".",".",10," ",".",1650,".",".",5," ",".",1715,".",".",10," ",".",1795,".",".",10," ",".",1765,".",".",15," ",".",1805,".",".",10," ",".",1790,".",".",15," ",".",1805,".",".",20," ",".",".",".",1745,15," ",".",".",".",1630,10," ",".",".",".",1625,15," ",".",".",".",1670,10," ",".",".",".",1490,20," ",".",".",".",565,10," ",".",".",".",515,10," ",".",".",".",".",10," "
"Wrexham (1)",10,95,".",".","."," ",15,1435,".",".","."," ",10,1570,".",".","."," ",".",1640,".",".","."," ",".",1660,".",".","."," ",".",1675,".",".",10," ",".",1640,".",".",10," ",".",1645,".",".",10," ",".",1675,".",".",20," ",".",".",".",1270,15," ",".",".",".",1290,25," ",".",".",".",1215,30," ",".",".",".",1175,40," ",".","*",".",1070,50," ",".",".",".",115,40," ",".",".",".",105,30," ",".",".",".",".",20," "
"Powys (2)",".",110,".",".","."," ",".",360,".",".","*"," ",".",1240,25,".",5," ",".",1225,15,".",10," ",".",1255,25,".",10," ",".",1310,35,".",10," ",".",1270,20,".",5," ",".",1265,30,".",10," ",".",1360,35,".",25," ",".",".",50,1205,25," ",".",".",45,1205,25," ",".",".",50,1220,30," ",".",".",35,1240,25," ",".",".",40,1170,45," ",".",".",45,475,20," ",".",".",40,420,15," ",".",".",".",".",15," "
"Ceredigion (2)",".",5,15,".","."," ",".",365,110,".","."," ",".",615,105,".","."," ",".",555,95,".","."," ",".",605,100,".","."," ",".",570,110,".","."," ",".",625,110,".","."," ",".",505,115,".","."," ",".",530,120,".","."," ",".",".",230,520,"."," ",".",".",225,455,"."," ",".",".",225,505,"."," ",".",".",220,515,"."," ",".",".",240,465,"."," ",".",".",105,265,"."," ",".",".",125,255,"."," ",".",".",".",".","."," "
