"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",575,760,665,670,720,645,685,685,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1130,1285,1320,1200,1160,1200,1150,1240,".",".",".",".",".",".",".","."
"Conwy (1)",".",1090,1125,1115,1060,1060,1040,1050,1115,".",".",".",".",".",".",".","."
"Denbighshire (1)",25,1075,1040,1015,1035,1000,965,1010,1075,".",".",".",".",".",".",".","."
"Flintshire (1)",55,1670,1755,1655,1660,1720,1565,1620,1635,".",".",".",".",".",".",".","."
"Wrexham (1)",70,1630,1620,1625,1535,1475,1425,1340,1440,".","*",".",".","*",".","*","."
"Powys (2)",160,980,1300,1290,1345,1325,1275,1300,1280,".",".",".",".",".",".",".","."
"Ceredigion (2)",".",220,885,625,655,680,665,630,665,".",".","*",".",".",".",".","."
"Pembrokeshire (2)",305,1150,1300,1305,1285,1275,1240,1210,1260,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",205,1665,1940,1935,1845,1830,1845,1865,1870,"*","*",".",".","*","*","*","*"
"Swansea (2)",805,2690,2580,2540,2445,2475,2480,2420,2445,".",".",".",".",".",".",".","."
"Neath Port Talbot (2)",490,1510,1475,1530,1575,1425,1355,1365,1420,".",".",".",".",".",".",".","."
"Bridgend (3)",240,1465,1610,1480,1570,1480,1470,1410,1590,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",370,1265,1565,1460,1485,1405,1470,1340,1395,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",740,2585,2685,2715,2705,2570,2645,2380,2450,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",70,575,735,670,680,635,640,605,615,".",".",".",".",".",".",".","."
"Caerphilly (4)",465,2140,2080,2035,1995,2060,1975,1940,1945,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",240,780,730,790,690,760,660,690,715,".",".",".",".",".",".",".","."
"Torfaen (4)",".",910,1105,1090,1090,970,910,975,1005,".",".",".",".",".",".",".","."
"Monmouthshire (4)",100,410,855,865,875,885,910,845,865,".",".",".",".",".",".",".","."
"Newport (4)",200,1280,1780,1650,1715,1655,1655,1655,1615,".",".",".",".",".",".",".","."
"Cardiff (3)",690,3455,4085,3865,3745,3495,3495,3385,3445,".",".",".",".",".",".",".","."
"Wales (5)",5240,30255,34300,33230,32870,32060,31535,30865,31775,"*","*","*",".","*","*","*","*"


