"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)","Secondary schools (6)"
"Isle of Anglesey (1)",".",".",".",".",".",".",".",".",".",640,645,645,620,615,300,245,"."
"Gwynedd (1)",".",".",".",".",".",".",".",".",".",1290,1165,1125,1155,1025,400,330,"."
"Conwy (1)",".",".",".",".",".",".",".",".",".",1120,1100,1080,1055,990,660,525,"."
"Denbighshire (1)",".",".",".",".",".",".",".",".",".",1160,1115,1080,1055,950,405,345,"."
"Flintshire (1)",".",".",".",".",".",".",".",".",".",1645,1635,1660,1560,1525,580,560,"."
"Wrexham (1)",".",".",".",".",".",".",".",".",".",1290,1230,1165,1140,1040,125,120,"."
"Powys (2)",".",".",".",".",".",".",".",".",".",1215,1230,1240,1205,1140,485,480,"."
"Ceredigion (2)",".",".",".",".",".",".",".",".",".",460,505,510,475,425,325,255,"."
"Pembrokeshire (2)",".",".",".",".",".",".",".",".",".",1230,1165,1150,1115,1055,330,450,"*"
"Carmarthenshire (2)",".","*",".",".",".",".",".",".","*",1975,1945,1920,1940,1800,835,670,"."
"Swansea (2)",".",".",".",".",".",".",".",".",".",2490,2410,2420,2405,2295,750,570,"."
"Neath Port Talbot (2)",".",".",".",".",".",".",".",".",".",1140,1155,1110,1030,1025,100,90,"."
"Bridgend (3)",".",".",".",".",".",".",".",".",".",1545,1605,1490,1470,1365,895,670,"."
"Vale of Glamorgan (3)",".",".",".",".",".",".",".",".",".",1370,1385,1320,1310,1225,690,670,"."
"Rhondda Cynon Taf (3)",".",".",".",".",".",".",".",".",".",2755,2700,2515,2625,2350,1180,960,"."
"Merthyr Tydfil (3)",".",".",".",".",".",".",".",".",".",585,595,560,575,515,".",".","."
"Caerphilly (4)",".",".",".",".",".",".",".",".",".",1870,1855,1935,1875,1730,485,415,"*"
"Blaenau Gwent (4)",".",".",".",".",".",".",".",".",".",310,260,290,240,245,".",".","."
"Torfaen (4)",".",".",".",".",".",".",".",".",".",1135,1115,1070,1040,1045,455,345,"."
"Monmouthshire (4)",".",".",".",".",".",".",".",".",".",780,780,820,810,740,435,425,"."
"Newport (4)",".",".",".",".",".",".",".",".",".",1735,1775,1635,1645,1600,915,710,"*"
"Cardiff (3)",".",".",".",".",".",".",".",".",".",3670,3575,3350,3380,3125,1760,1250,"."
"Wales (5)",".","*",".",".",".",".",".",".","*",31410,30935,30095,29740,27840,12110,10085,"*"


