National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6602130,Ysgol Gynradd Amlwch,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Amber/Oren,,,
6602131,Ysgol Gynradd Beaumaris,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602132,Ysgol Gynradd Bodedern,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602133,Ysgol Gymuned Bodffordd,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602135,Ysgol Gymuned Bryngwran,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602136,Ysgol Gynradd Brynsiencyn,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Amber/Oren,,,
6602138,Ysgol Cemaes,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602140,Ysgol Esceifiog,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602141,Ysgol Gynradd Garreglefn,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602142,Ysgol Gymuned y Ffridd,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602145,Ysgol Gymuned Moelfre,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602146,Ysgol Gynradd Llanbedrgoch,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602152,Ysgol Gynradd Llanfairpwll,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602153,Ysgol Gymuned Llanfechell,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602154,Ysgol Y Graig,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602155,YSGOL GYNRADD LLANGOED,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602156,Ysgol Henblas,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602157,Ysgol Gymuned Llannerch-y-medd,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602160,Ysgol Pencarnisiog,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602161,Ysgol Gymuned Pentraeth,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602162,Ysgol Penysarn,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Amber/Oren,,,
6602163,Ysgol Santes Gwenfaen,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602164,Ysgol Gynradd Rhosneigr,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
6602165,Ysgol Gynradd Rhosybol,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602166,Ysgol Gynradd Talwrn,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,,,
6602168,Ysgol Gymuned y Fali,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,,,
