National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,
,,,,
Secondary schools / Ysgolion uwchradd,,,,
,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                  Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,
,,,,
,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth"
6604025,Ysgol Syr Thomas Jones,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn
6604026,Ysgol Uwchradd Caergybi,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn
6604027,Ysgol Gyfun Llangefni,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd
6604028,Ysgol David Hughes,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn
6604029,Ysgol Uwchradd Bodedern,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Red/Coch
6614002,Ysgol Dyffryn Ogwen Bethesda,Gwynedd / Gwynedd,GwE / GwE,Red/Coch
6614003,Ysgol Botwnnog,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd
6614004,Ysgol Brynrefail,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd
6614007,Ysgol Dyffryn Nantlle,Gwynedd / Gwynedd,GwE / GwE,Red/Coch
6614009,YSGOL EIFIONYDD,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6614031,Ysgol Y Moelwyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6614032,YSGOL UWCHRADD TYWYN,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd
6614034,Ysgol Ardudwy,Gwynedd / Gwynedd,GwE / GwE,Red/Coch
6614036,Ysgol Friars,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd
6614037,Ysgol Tryfan,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6614039,Ysgol Syr Hugh Owen,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6614040,Ysgol Glan y Mor,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6615500,Bro Idris,Gwynedd / Gwynedd,GwE / GwE,Amber/Oren
6615501,Ysgol Godre'r Berwyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6624022,Ysgol John Bright,Conwy / Conwy,GwE / GwE,Amber/Oren
6624023,Ysgol Aberconwy,Conwy / Conwy,GwE / GwE,Yellow/Melyn
6624035,YSGOL DYFFRYN CONWY,Conwy / Conwy,GwE / GwE,Amber/Oren
6624038,YSGOL Y CREUDDYN,Conwy / Conwy,GwE / GwE,Green/Gwyrdd
6625400,Ysgol Emrys ap Iwan,Conwy / Conwy,GwE / GwE,Yellow/Melyn
6625402,Eirias High School,Conwy / Conwy,GwE / GwE,Yellow/Melyn
6625403,Ysgol Bryn Elian,Conwy / Conwy,GwE / GwE,Amber/Oren
6634003,Rhyl High School,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn
6634014,Prestatyn High School,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn
